USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	14843892635	2267730962	5731.259	875.576	30.981856	-87.817403                                                                                                                                    
AL	0102	26956428247	301264823	10407.936	116.319	31.702085	-86.076842                                                                                                                                    
AL	0103	21381385572	520786717	8255.399	201.077	33.157607	-85.76216                                                                                                                                      
AL	0104	22807503967	647845415	8806.027	250.135	34.173841	-87.227881                                                                                                                                     
AL	0105	8706583127	363473596	3361.631	140.338	34.738978	-86.591033                                                                                                                                      
AL	0106	8332788156	110027806	3217.308	42.482	33.363555	-86.779225                                                                                                                                       
AL	0107	28156467642	371197064	10871.273	143.32	32.466449	-87.607935                                                                                                                                     
AK	0200	1479016910296	245347100126	571051.646	94729.049	63.347356	-152.839733                                                                                                                           
AZ	0401	4137523548	43192669	1597.507	16.677	33.698866	-111.661478                                                                                                                                       
AZ	0402	151135508821	354905668	58353.749	137.03	35.117216	-111.054772                                                                                                                                   
AZ	0403	533217246	1552135	205.876	0.599	33.424088	-112.121724                                                                                                                                           
AZ	0404	463210221	2371866	178.846	0.916	33.384729	-111.859735                                                                                                                                           
AZ	0405	1049666573	1235284	405.279	0.477	33.305743	-111.655086                                                                                                                                          
AZ	0406	35461794825	50292175	13691.876	19.418	32.373827	-109.977644                                                                                                                                     
AZ	0407	39931541864	13462632	15417.655	5.198	32.261361	-112.321364                                                                                                                                      
AZ	0408	1489980379	9074817	575.285	3.504	33.788464	-112.201324                                                                                                                                          
AZ	0409	60163663257	377916686	23229.321	145.914	34.602342	-113.66332                                                                                                                                    
AR	0501	51410924996	1427062352	19849.87	550.992	35.351172	-91.33508                                                                                                                                     
AR	0502	13730889902	362037601	5301.526	139.784	35.167888	-92.375838                                                                                                                                     
AR	0503	10786516319	207902340	4164.697	80.272	36.000717	-94.029813                                                                                                                                      
AR	0504	58732135341	1125248891	22676.605	434.461	34.208983	-93.142469                                                                                                                                   
CA	0601	68358541152	1696270853	26393.381	654.934	40.759058	-121.708586                                                                                                                                  
CA	0602	33769655939	4120895872	13038.538	1591.087	40.071536	-123.464436                                                                                                                                 
CA	0603	56116627798	988904349	21666.752	381.818	37.82646	-118.859763                                                                                                                                    
CA	0604	9790225813	380745191	3780.027	147.007	38.735643	-122.331229                                                                                                                                     
CA	0605	25401890236	414579110	9807.725	160.07	37.7133	-119.850428                                                                                                                                       
CA	0606	651427538	7098663	251.518	2.741	38.631719	-121.370921                                                                                                                                           
CA	0607	1762367950	68768947	680.454	26.552	38.3616	-121.382107                                                                                                                                          
CA	0608	1246243225	346854664	481.177	133.921	38.113205	-122.119708                                                                                                                                      
CA	0609	3488337940	94520307	1346.855	36.494	37.977874	-121.206741                                                                                                                                       
CA	0610	1391885168	61046055	537.41	23.57	37.891077	-121.893056                                                                                                                                          
CA	0611	107155716	479611345	41.373	185.179	37.727239	-123.032229                                                                                                                                        
CA	0612	239977623	126063298	92.656	48.673	37.780127	-122.240801                                                                                                                                         
CA	0613	16297771976	146700045	6292.605	56.641	36.917654	-120.576823                                                                                                                                     
CA	0614	1503389036	74912270	580.462	28.924	37.632533	-121.839457                                                                                                                                        
CA	0615	301068906	290949992	116.243	112.336	37.589067	-122.316684                                                                                                                                       
CA	0616	1370281644	477793557	529.069	184.477	37.335174	-122.287674                                                                                                                                      
CA	0617	464449301	21713076	179.325	8.383	37.426051	-121.964951                                                                                                                                          
CA	0618	11843791765	90538002	4572.914	34.957	36.478692	-121.192912                                                                                                                                      
CA	0619	7294858882	1988281776	2816.561	767.68	36.867713	-121.752502                                                                                                                                     
CA	0620	25052465369	128850958	9672.811	49.75	35.756458	-118.67173                                                                                                                                       
CA	0621	2308460354	5731272	891.302	2.213	36.553876	-119.473299                                                                                                                                          
CA	0622	11170799039	19732996	4313.07	7.619	35.773573	-119.529737                                                                                                                                        
CA	0623	46533428402	48562603	17966.658	18.75	34.942504	-116.43631                                                                                                                                       
CA	0624	12655033578	3811623101	4886.136	1471.676	34.724843	-120.057905                                                                                                                                  
CA	0625	30965567067	1025871478	11955.873	396.091	33.613311	-115.34455                                                                                                                                   
CA	0626	4441522784	311330872	1714.882	120.206	34.45496	-119.06995                                                                                                                                       
CA	0627	3926699527	32043708	1516.107	12.372	34.606629	-118.358284                                                                                                                                       
CA	0628	2040519541	4744578	787.849	1.832	34.280333	-117.866141                                                                                                                                          
CA	0629	334032784	920614	128.971	0.355	34.287754	-118.389695                                                                                                                                            
CA	0630	464384393	2017006	179.3	0.779	34.22809	-118.273626                                                                                                                                              
CA	0631	537871338	8525918	207.673	3.292	34.145768	-117.891631                                                                                                                                           
CA	0632	767245391	239274416	296.235	92.384	34.0935	-118.657518                                                                                                                                          
CA	0633	490000938	2760140	189.19	1.066	34.115584	-117.339115                                                                                                                                            
CA	0634	128664516	962989	49.678	0.372	34.071305	-118.216637                                                                                                                                             
CA	0635	459007647	514721	177.224	0.199	34.037647	-117.619723                                                                                                                                            
CA	0636	251515348	252540525	97.111	97.506	33.869819	-118.405296                                                                                                                                         
CA	0637	136664154	173654	52.766	0.067	34.009687	-118.325203                                                                                                                                             
CA	0638	386756742	3545479	149.328	1.369	33.968825	-117.971097                                                                                                                                           
CA	0639	735864388	4211109	284.119	1.626	33.906185	-117.316456                                                                                                                                           
CA	0640	1013144486	5369217	391.177	2.073	33.75137	-117.666104                                                                                                                                           
CA	0641	3437348241	47980616	1327.168	18.525	33.630418	-116.58229                                                                                                                                        
CA	0642	549841260	1171994926	212.295	452.51	33.367336	-118.480709                                                                                                                                       
CA	0643	186938591	617273	72.177	0.238	33.910609	-118.310473                                                                                                                                             
CA	0644	236044846	66196569	91.137	25.559	33.806936	-118.241001                                                                                                                                          
CA	0645	268375050	896726	103.62	0.346	33.881665	-118.035199                                                                                                                                             
CA	0646	193675513	528875	74.779	0.204	33.794785	-117.908297                                                                                                                                             
CA	0647	448294172	286927375	173.087	110.783	33.634239	-117.89192                                                                                                                                        
CA	0648	9362006913	51036279	3614.691	19.705	33.08375	-116.63769                                                                                                                                         
CA	0649	1284475535	454025804	495.939	175.3	33.316415	-117.425868                                                                                                                                        
CA	0650	664411680	402346283	256.531	155.347	32.716149	-117.224302                                                                                                                                       
CA	0651	491909238	2916068	189.927	1.126	32.834756	-117.083194                                                                                                                                           
CA	0652	350379968	20748714	135.282	8.011	32.628679	-117.035322                                                                                                                                          
CO	0801	398601209	4281287	153.901	1.653	39.76185	-104.881105                                                                                                                                            
CO	0802	29642531107	245338838	11445.046	94.726	40.29582	-106.206861                                                                                                                                     
CO	0803	129370970011	353187539	49950.413	136.366	38.45821	-106.883566                                                                                                                                   
CO	0804	83237158236	408672714	32138.048	157.789	39.318349	-103.248726                                                                                                                                   
CO	0805	3811938395	6614048	1471.798	2.554	38.807274	-104.661743                                                                                                                                         
CO	0806	794191190	11213340	306.639	4.329	39.680581	-104.784114                                                                                                                                          
CO	0807	18547432493	100873105	7161.204	38.947	38.886809	-105.635833                                                                                                                                     
CO	0808	2615934169	55577194	1010.018	21.458	40.177746	-104.809462                                                                                                                                       
CT	0901	1700158156	51102192	656.435	19.731	41.928611	-73.017629                                                                                                                                         
CT	0902	5234724499	298625752	2021.139	115.3	41.653687	-72.206509                                                                                                                                        
CT	0903	1227265362	70522878	473.85	27.229	41.372075	-72.892659                                                                                                                                          
CT	0904	1152150823	211864573	444.848	81.801	41.190282	-73.393356                                                                                                                                        
CT	0905	3227451434	88588297	1246.126	34.204	41.694323	-73.209998                                                                                                                                        
CT	09ZZ	0	1095660734	0.	423.037	41.166607	-72.842465                                                                                                                                                    
DE	1000	5046703781	1399207462	1948.543	540.237	38.998566	-75.441644                                                                                                                                     
DC	1198	158316184	18709787	61.126	7.224	38.904247	-77.016517                                                                                                                                            
FL	1201	8281925961	3155649161	3197.67	1218.403	30.615404	-86.817013                                                                                                                                     
FL	1202	25521202166	7730484353	9853.792	2984.757	30.245747	-84.777635                                                                                                                                   
FL	1203	18963495085	2457663949	7321.847	948.909	29.778479	-82.728298                                                                                                                                    
FL	1204	4615349178	514215094	1781.996	198.54	30.330709	-81.777257                                                                                                                                       
FL	1205	1533318754	613852730	592.018	237.01	30.101613	-81.459671                                                                                                                                        
FL	1206	8832183944	1342021926	3410.125	518.158	29.272623	-81.640698                                                                                                                                     
FL	1207	2161309779	567024988	834.486	218.93	28.873696	-81.094956                                                                                                                                        
FL	1208	4247573909	1706464541	1639.998	658.87	28.149056	-80.681788                                                                                                                                      
FL	1209	4274629387	506787142	1650.444	195.672	28.119037	-81.173363                                                                                                                                      
FL	1210	665068121	40813319	256.784	15.758	28.541394	-81.293515                                                                                                                                          
FL	1211	4144124666	611494768	1600.056	236.099	28.583489	-81.854863                                                                                                                                      
