State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
AL,1,Jerry Carl,R,False,True,64.9,1971321.0,1859349.0
AL,1,James Averhart,D,False,False,35.0,80095.0,78973.0
AL,2,Barry Moore,R,False,True,65.3,650807.0,669368.0
AL,2,Phyllis Harvey-Hall,D,False,False,34.6,56050.0,55988.0
AL,3,Mike D Rogers,R,True,True,67.5,1193111.0,1218564.0
AL,3,Adia Winfrey,D,False,False,32.4,50273.0,40971.0
AL,4,Robert B Aderholt,R,True,True,82.5,1255076.0,1323812.0
AL,5,Mo Brooks,R,True,True,95.8,655365.0,210045.0
AL,6,Gary Palmer,R,True,True,97.1,907219.0,909082.0
AL,7,Terri Sewell,D,True,True,97.2,2168165.0,1495957.0
AK,1,Don Young,R,True,True,54.4,1922901.0,1790448.0
AK,1,Alyse Galvin,I,False,False,45.3,5178452.0,5088103.0
AZ,1,Tom O'Halleran,D,True,True,51.6,3381353.0,3324138.0
AZ,1,Tiffany Shedd,R,False,False,48.4,1675618.0,1615704.0
AZ,2,Ann Kirkpatrick,D,True,True,55.1,1849862.0,1384765.0
AZ,2,Brandon Martin,R,False,False,44.9,374821.0,381067.0
AZ,3,Raul M Grijalva,D,True,True,64.6,843560.0,655507.0
AZ,3,Daniel Wood,R,False,False,35.4,41422.0,41962.0
AZ,4,Paul Gosar,R,True,True,69.8,622151.0,729892.0
AZ,4,Delina DiSanto,D,False,False,30.2,77168.0,79758.0
AZ,5,Andy Biggs,R,True,True,58.9,1602181.0,1236380.0
AZ,5,Joan Greene,D,False,False,41.1,356069.0,209789.0
AZ,6,David Schweikert,R,True,True,52.2,2265329.0,2249979.0
AZ,6,Hiral Tipirneni,D,False,False,47.8,6301073.0,6366702.0
AZ,7,Ruben Gallego,D,True,True,76.7,1811754.0,1653961.0
AZ,7,Josh Barnett,R,False,False,23.3,28093.0,17883.0
AZ,8,Debbie Lesko,R,True,True,59.6,1605245.0,987453.0
AZ,8,Michael Muscato,D,False,False,40.4,357906.0,347734.0
AZ,9,Greg Stanton,D,True,True,61.6,2001619.0,1001350.0
AZ,9,Dave Giles,R,False,False,38.4,130480.0,129935.0
AR,1,Rick Crawford,R,True,True,100.0,966801.0,1095518.0
AR,2,French Hill,R,True,True,55.4,3384490.0,3020491.0
AR,2,Joyce Elliott,D,False,False,44.6,3482463.0,3478733.0
