,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
0,AL,01,Jerry Carl,R,False,True,64.9,"$1,971,321","$1,859,349"
1,AL,01,James Averhart,D,False,False,35.0,"$80,095","$78,973"
2,AL,02,Barry Moore,R,False,True,65.3,"$650,807","$669,368"
3,AL,02,Phyllis Harvey-Hall,D,False,False,34.6,"$56,050","$55,988"
4,AL,03,Mike D Rogers,R,True,True,67.5,"$1,193,111","$1,218,564"
5,AL,03,Adia Winfrey,D,False,False,32.4,"$50,273","$40,971"
6,AL,04,Robert B Aderholt,R,True,True,82.5,"$1,255,076","$1,323,812"
7,AL,05,Mo Brooks,R,True,True,95.8,"$655,365","$210,045"
8,AL,06,Gary Palmer,R,True,True,97.1,"$907,219","$909,082"
9,AL,07,Terri Sewell,D,True,True,97.2,"$2,168,165","$1,495,957"
10,AK,01,Don Young,R,True,True,54.4,"$1,922,901","$1,790,448"
11,AK,01,Alyse Galvin,I,False,False,45.3,"$5,178,452","$5,088,103"
12,AZ,01,Tom O'Halleran,D,True,True,51.6,"$3,381,353","$3,324,138"
13,AZ,01,Tiffany Shedd,R,False,False,48.4,"$1,675,618","$1,615,704"
14,AZ,02,Ann Kirkpatrick,D,True,True,55.1,"$1,849,862","$1,384,765"
15,AZ,02,Brandon Martin,R,False,False,44.9,"$374,821","$381,067"
16,AZ,03,Raul M Grijalva,D,True,True,64.6,"$843,560","$655,507"
17,AZ,03,Daniel Wood,R,False,False,35.4,"$41,422","$41,962"
18,AZ,04,Paul Gosar,R,True,True,69.8,"$622,151","$729,892"
19,AZ,04,Delina DiSanto,D,False,False,30.2,"$77,168","$79,758"
20,AZ,05,Andy Biggs,R,True,True,58.9,"$1,602,181","$1,236,380"
21,AZ,05,Joan Greene,D,False,False,41.1,"$356,069","$209,789"
22,AZ,06,David Schweikert,R,True,True,52.2,"$2,265,329","$2,249,979"
23,AZ,06,Hiral Tipirneni,D,False,False,47.8,"$6,301,073","$6,366,702"
24,AZ,07,Ruben Gallego,D,True,True,76.7,"$1,811,754","$1,653,961"
25,AZ,07,Josh Barnett,R,False,False,23.3,"$28,093","$17,883"
26,AZ,08,Debbie Lesko,R,True,True,59.6,"$1,605,245","$987,453"
27,AZ,08,Michael Muscato,D,False,False,40.4,"$357,906","$347,734"
28,AZ,09,Greg Stanton,D,True,True,61.6,"$2,001,619","$1,001,350"
29,AZ,09,Dave Giles,R,False,False,38.4,"$130,480","$129,935"
30,AR,01,Rick Crawford,R,True,True,100.0,"$966,801","$1,095,518"
31,AR,02,French Hill,R,True,True,55.4,"$3,384,490","$3,020,491"
32,AR,02,Joyce Elliott,D,False,False,44.6,"$3,482,463","$3,478,733"
33,AR,03,Steve Womack,R,True,True,64.3,"$1,127,158","$923,120"
34,AR,03,Celeste Williams,D,False,False,31.8,"$355,294","$355,294"
35,AR,04,Bruce Westerman,R,True,True,69.7,"$1,407,770","$1,102,573"
36,AR,04,William Hanson,D,False,False,27.5,"$109,767","$111,683"
37,CA,01,Doug LaMalfa,R,True,True,56.9,"$1,219,556","$1,155,945"
38,CA,01,Audrey Denney,D,False,False,43.1,"$2,461,769","$2,457,661"
39,CA,02,Jared Huffman,D,True,True,75.7,"$899,419","$797,753"
40,CA,02,Dale Mensing,R,False,False,24.3,"$5,921","$2,197"
41,CA,03,John Garamendi,D,True,True,54.7,"$1,054,066","$667,320"
42,CA,03,Tamika Hamilton,R,False,False,45.3,"$397,099","$384,584"
43,CA,04,Tom McClintock,R,True,True,55.9,"$2,053,363","$2,107,248"
44,CA,04,Brynne Kennedy,D,False,False,44.1,"$3,006,020","$3,002,532"
45,CA,05,Mike Thompson,D,True,True,76.8,"$2,208,136","$2,022,751"
46,CA,06,Doris Matsui,D,True,True,73.4,"$1,019,605","$1,073,529"
47,CA,06,Chris Bish,R,False,False,26.6,"$44,772","$44,554"
48,CA,07,Ami Bera,D,True,True,56.6,"$1,757,748","$1,053,444"
49,CA,07,Buzz Patterson,R,False,False,43.4,"$43,876","$29,614"
50,CA,08,Jay Obernolte,R,False,True,56.1,"$1,861,647","$1,792,064"
51,CA,08,Chris Bubser,D,False,False,43.9,"$1,858,001","$1,856,613"
52,CA,09,Jerry McNerney,D,True,True,57.6,"$1,177,959","$1,112,543"
53,CA,09,Tony Amador,R,False,False,42.4,"$52,175","$52,175"
54,CA,10,Josh Harder,D,True,True,55.2,"$7,400,135","$3,950,613"
55,CA,10,Ted Howze,R,False,False,44.8,"$1,426,552","$1,721,882"
56,CA,11,Mark Desaulnier,D,True,True,73.0,"$610,394","$440,537"
57,CA,11,Nisha Sharma,R,False,False,27.0,"$174,954","$171,870"
58,CA,12,Nancy Pelosi,D,True,True,77.6,"$27,359,508","$22,064,953"
59,CA,12,Shahid Buttar,D,False,False,22.4,"$1,672,876","$1,650,467"
60,CA,13,Barbara Lee,D,True,True,90.4,"$1,828,213","$1,750,142"
61,CA,13,Nikka Piterman,R,False,False,9.6,"$9,839","$9,904"
62,CA,14,Jackie Speier,D,True,True,79.3,"$942,934","$919,599"
63,CA,15,Eric Swalwell,D,True,True,70.9,"$2,807,774","$3,977,839"
64,CA,16,Jim Costa,D,True,True,59.3,"$2,135,525","$1,835,244"
65,CA,16,Kevin Cookingham,R,False,False,40.7,"$265,364","$265,364"
66,CA,17,Ro Khanna,D,True,True,71.3,"$3,837,982","$2,455,457"
67,CA,17,Ritesh Tandon,R,False,False,28.7,"$175,536","$175,015"
68,CA,18,Anna Eshoo,D,True,True,63.2,"$2,114,909","$2,059,158"
69,CA,18,Rishi Kumar,D,False,False,36.8,"$674,383","$691,938"
70,CA,19,Zoe Lofgren,D,True,True,71.7,"$1,755,555","$1,731,700"
71,CA,19,Justin Aguilera,R,False,False,28.3,"$9,112","$11,542"
72,CA,20,Jimmy Panetta,D,True,True,76.8,"$2,009,894","$1,592,671"
73,CA,20,Jeff Gorman,R,False,False,23.2,"$67,634","$64,947"
74,CA,21,TJ Cox,D,True,False,49.6,"$5,695,157","$5,694,005"
75,CA,21,David Valadao,R,False,True,50.4,"$4,067,880","$3,982,587"
76,CA,22,Devin Nunes,R,True,True,54.2,"$26,825,212","$20,156,093"
77,CA,22,Phil Arballo,D,False,False,45.8,"$5,091,451","$5,062,185"
78,CA,23,Kevin McCarthy,R,True,True,62.1,"$27,780,644","$24,265,583"
79,CA,23,Kim Mangone,D,False,False,37.9,"$1,671,101","$1,665,373"
80,CA,24,Salud Carbajal,D,True,True,58.7,"$2,117,836","$1,451,622"
81,CA,24,Andy Caldwell,R,False,False,41.3,"$1,298,798","$1,268,199"
82,CA,25,Mike Garcia,R,True,True,50.0,"$9,962,507","$9,584,648"
83,CA,25,Christy Smith,D,False,False,50.0,"$5,977,734","$5,808,477"
84,CA,26,Julia Brownley,D,True,True,60.6,"$1,976,695","$1,314,677"
85,CA,26,Ronda Kennedy,R,False,False,39.4,"$246,226","$67,208"
86,CA,27,Judy Chu,D,True,True,69.8,"$1,213,706","$956,298"
87,CA,27,Johnny Nalbandian,R,False,False,30.2,"$39,584","$39,159"
88,CA,28,Adam Schiff,D,True,True,72.7,"$19,382,855","$10,188,664"
89,CA,28,Eric Early,R,False,False,27.3,"$4,085,322","$3,790,027"
90,CA,29,Tony Cardenas,D,True,True,56.6,"$1,419,697","$1,213,588"
91,CA,30,Brad Sherman,D,True,True,69.5,"$1,513,374","$1,111,826"
92,CA,31,Pete Aguilar,D,True,True,61.3,"$2,475,748","$1,861,434"
93,CA,31,Agnes Gibboney,R,False,False,38.7,"$138,687","$127,907"
94,CA,32,Grace Napolitano,D,True,True,66.6,"$478,426","$251,047"
95,CA,32,Joshua Scott,R,False,False,33.4,"$23,624","$14,248"
96,CA,33,Ted Lieu,D,True,True,67.6,"$1,661,436","$1,582,573"
97,CA,33,James Bradley,R,False,False,32.4,"$78,910","$79,035"
98,CA,34,Jimmy Gomez,D,True,True,53.0,"$1,401,166","$1,268,312"
99,CA,34,David Kim,D,False,False,47.0,"$193,430","$80,381"
100,CA,35,Norma Torres,D,True,True,69.3,"$654,727","$664,600"
101,CA,35,Mike Cargile,R,False,False,30.7,"$36,113","$35,915"
102,CA,36,Raul Ruiz,D,True,True,60.3,"$2,402,624","$1,732,443"
103,CA,36,Erin Cruz,R,False,False,39.7,"$54,217","$53,840"
104,CA,37,Karen Bass,D,True,True,85.9,"$2,216,467","$1,202,942"
105,CA,37,Errol Webber,R,False,False,14.1,"$66,398","$174,076"
106,CA,38,Linda Sanchez,D,True,True,74.3,"$1,246,008","$1,140,165"
107,CA,39,Gil Cisneros,D,True,False,49.4,"$4,370,133","$4,350,464"
108,CA,39,Young Kim,R,False,True,50.6,"$6,424,556","$6,021,651"
109,CA,40,Lucille Roybal-Allard,D,True,True,72.7,"$739,790","$741,379"
110,CA,40,Antonio Delgado,R,False,False,27.3,"$85,014","$79,270"
111,CA,41,Mark Takano,D,True,True,64.0,"$1,020,456","$949,494"
112,CA,41,Aja Smith,R,False,False,36.0,"$660,658","$659,909"
113,CA,42,Ken Calvert,R,True,True,57.1,"$1,441,812","$1,549,113"
114,CA,42,Liam O'Mara,D,False,False,42.9,"$130,065","$128,782"
115,CA,43,Maxine Waters,D,True,True,71.7,"$1,836,660","$1,906,957"
116,CA,43,Joe Collins,R,False,False,28.3,"$10,556,626","$9,921,103"
117,CA,44,Nanette Barragan,D,True,True,67.8,"$1,173,909","$714,023"
118,CA,45,Katie Porter,D,True,True,53.5,"$16,627,706","$6,443,700"
119,CA,45,Greg Raths,R,False,False,46.5,"$1,245,767","$1,241,713"
120,CA,46,Lou Correa,D,True,True,68.8,"$1,192,715","$650,707"
121,CA,47,Alan Lowenthal,D,True,True,63.3,"$678,648","$854,902"
122,CA,47,John Briscoe,R,False,False,36.7,"$25,302","$21,538"
123,CA,48,Harley Rouda,D,True,False,48.9,"$5,968,858","$6,174,443"
124,CA,48,Michelle Steel,R,False,True,51.1,"$6,305,665","$6,148,591"
125,CA,49,Mike Levin,D,True,True,53.1,"$3,845,768","$2,901,566"
126,CA,49,Brian Maryott,R,False,False,46.9,"$2,810,253","$2,808,217"
