,Year,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
0,2018,AL,01,Bradley Byrne,R,True,True,63.2,"$1,460,041","$831,634"
1,2018,AL,01,Robert Kennedy Jr.,D,False,False,36.8,"$46,845","$46,845"
2,2018,AL,02,Martha Roby,R,True,True,61.4,"$2,559,441","$2,263,209"
3,2018,AL,02,Tabitha Isner,D,False,False,38.4,"$519,145","$519,145"
4,2018,AL,03,Mike D Rogers,R,True,True,63.8,"$1,349,986","$1,347,847"
5,2018,AL,03,Mallory Hagan,D,False,False,36.2,"$436,374","$433,331"
6,2018,AL,04,Robert B Aderholt,R,True,True,79.8,"$1,546,643","$1,296,477"
7,2018,AL,04,Lee Auman,D,False,False,20.1,"$70,426","$77,552"
8,2018,AL,05,Mo Brooks,R,True,True,61.1,"$1,509,390","$1,988,145"
9,2018,AL,05,Peter Joffrion,D,False,False,38.9,"$575,503","$572,568"
10,2018,AL,06,Gary Palmer,R,True,True,69.2,"$1,194,141","$1,473,770"
11,2018,AL,06,Danner Kline,D,False,False,30.8,"$287,397","$287,397"
12,2018,AK,01,Don Young,R,True,True,53.1,"$1,227,283","$1,380,290"
13,2018,AK,01,Alyse Galvin,D,False,False,46.5,"$1,937,396","$1,931,151"
14,2018,AZ,01,Tom O'Halleran,D,True,True,53.8,"$2,703,036","$2,714,331"
15,2018,AZ,01,Wendy Rogers,R,False,False,46.1,"$1,388,603","$1,391,891"
16,2018,AZ,02,Ann Kirkpatrick,D,False,True,54.7,"$4,532,527","$4,460,335"
17,2018,AZ,02,Lea Marquez Peterson,R,False,False,45.2,"$1,446,345","$1,437,131"
18,2018,AZ,03,Raul M Grijalva,D,True,True,63.9,"$697,816","$717,810"
19,2018,AZ,03,Nick Pierson,R,False,False,36.1,"$77,001","$71,241"
20,2018,AZ,04,Paul Gosar,R,True,True,68.2,"$580,004","$566,398"
21,2018,AZ,04,David Brill,D,False,False,30.5,"$588,544","$509,387"
22,2018,AZ,05,Andy Biggs,R,True,True,59.4,"$611,114","$374,465"
23,2018,AZ,05,Joan Greene,D,False,False,40.6,"$199,238","$199,163"
24,2018,AZ,06,David Schweikert,R,True,True,55.2,"$1,634,106","$1,618,276"
25,2018,AZ,06,Anita Malik,D,False,False,44.8,"$397,736","$391,716"
26,2018,AZ,07,Ruben Gallego,D,True,True,85.6,"$1,026,853","$950,936"
27,2018,AZ,08,Debbie Lesko,R,True,True,55.5,"$2,073,430","$2,002,590"
28,2018,AZ,08,Hiral Tipirneni,D,False,False,44.5,"$4,476,016","$4,375,415"
29,2018,AZ,09,Greg Stanton,D,False,True,61.1,"$2,504,136","$2,459,750"
30,2018,AZ,09,Steve Ferrara,R,False,False,38.9,"$1,502,065","$1,502,065"
31,2018,AR,01,Rick Crawford,R,True,True,69.0,"$1,018,464","$965,617"
32,2018,AR,01,Chintan Desai,D,False,False,28.8,"$137,153","$137,153"
33,2018,AR,02,French Hill,R,True,True,52.1,"$2,934,565","$3,536,453"
34,2018,AR,02,Clarke Tucker,D,False,False,45.8,"$2,355,590","$2,347,834"
35,2018,AR,03,Steve Womack,R,True,True,64.7,"$1,203,446","$1,210,044"
36,2018,AR,03,Josh Mahony,D,False,False,32.5,"$266,234","$265,214"
37,2018,AR,04,Bruce Westerman,R,True,True,66.7,"$1,610,555","$1,283,479"
38,2018,AR,04,Hayden Shamel,D,False,False,31.2,"$152,067","$149,870"
39,2018,CA,01,Doug LaMalfa,R,True,True,54.9,"$1,028,857","$1,089,952"
40,2018,CA,01,Audrey Denney,D,False,False,45.1,"$1,088,140","$1,067,212"
41,2018,CA,02,Jared Huffman,D,True,True,77.0,"$928,167","$708,199"
42,2018,CA,02,Dale Mensing,R,False,False,23.0,"$4,751","$3,562"
43,2018,CA,03,John Garamendi,D,True,True,58.1,"$1,107,347","$826,737"
44,2018,CA,03,Charles Schaupp,R,False,False,41.9,"$38,032","$26,905"
45,2018,CA,04,Tom McClintock,R,True,True,54.1,"$1,733,024","$1,783,774"
46,2018,CA,04,Jessica Morse,D,False,False,45.9,"$3,768,846","$3,666,669"
47,2018,CA,05,Mike Thompson,D,True,True,78.9,"$2,123,048","$2,079,640"
48,2018,CA,06,Doris Matsui,D,True,True,80.4,"$1,066,880","$1,118,519"
49,2018,CA,07,Ami Bera,D,True,True,55.0,"$2,919,622","$1,727,819"
50,2018,CA,07,Andrew Grant,R,False,False,45.0,"$561,239","$545,066"
