State,GEOID,STATEFP,CDFP
AL,0101,01,01
AL,0102,01,02
AL,0103,01,03
AL,0104,01,04
AL,0105,01,05
AL,0106,01,06
AL,0107,01,07
AK,0200,02,00
AZ,0401,04,01
AZ,0402,04,02
AZ,0403,04,03
AZ,0404,04,04
AZ,0405,04,05
AZ,0406,04,06
AZ,0407,04,07
AZ,0408,04,08
AZ,0409,04,09
AR,0501,05,01
AR,0502,05,02
AR,0503,05,03
AR,0504,05,04
CA,0601,06,01
CA,0602,06,02
CA,0603,06,03
CA,0604,06,04
CA,0605,06,05
CA,0606,06,06
CA,0607,06,07
CA,0608,06,08
CA,0609,06,09
CA,0610,06,10
CA,0611,06,11
CA,0612,06,12
CA,0613,06,13
CA,0614,06,14
CA,0615,06,15
CA,0616,06,16
CA,0617,06,17
CA,0618,06,18
CA,0619,06,19
CA,0620,06,20
CA,0621,06,21
CA,0622,06,22
CA,0623,06,23
CA,0624,06,24
CA,0625,06,25
CA,0626,06,26
CA,0627,06,27
CA,0628,06,28
CA,0629,06,29
CA,0630,06,30
CA,0631,06,31
CA,0632,06,32
CA,0633,06,33
CA,0634,06,34
CA,0635,06,35
CA,0636,06,36
CA,0637,06,37
CA,0638,06,38
CA,0639,06,39
CA,0640,06,40
CA,0641,06,41
CA,0642,06,42
CA,0643,06,43
CA,0644,06,44
CA,0645,06,45
CA,0646,06,46
CA,0647,06,47
CA,0648,06,48
CA,0649,06,49
CA,0650,06,50
CA,0651,06,51
CA,0652,06,52
CO,0801,08,01
CO,0802,08,02
CO,0803,08,03
CO,0804,08,04
CO,0805,08,05
CO,0806,08,06
CO,0807,08,07
CO,0808,08,08
CT,0901,09,01
CT,0902,09,02
CT,0903,09,03
CT,0904,09,04
CT,0905,09,05
CT,09ZZ,09,ZZ
DE,1000,10,00
DC,1198,11,98
FL,1201,12,01
FL,1202,12,02
FL,1203,12,03
FL,1204,12,04
FL,1205,12,05
FL,1206,12,06
FL,1207,12,07
FL,1208,12,08
FL,1209,12,09
FL,1210,12,10
FL,1211,12,11
FL,1212,12,12
FL,1213,12,13
FL,1214,12,14
FL,1215,12,15
FL,1216,12,16
FL,1217,12,17
FL,1218,12,18
FL,1219,12,19
FL,1220,12,20
FL,1221,12,21
FL,1222,12,22
FL,1223,12,23
FL,1224,12,24
FL,1225,12,25
FL,1226,12,26
FL,1227,12,27
FL,1228,12,28
GA,1301,13,01
GA,1302,13,02
GA,1303,13,03
GA,1304,13,04
GA,1305,13,05
GA,1306,13,06
GA,1307,13,07
GA,1308,13,08
GA,1309,13,09
GA,1310,13,10
GA,1311,13,11
GA,1312,13,12
GA,1313,13,13
GA,1314,13,14
HI,1501,15,01
HI,1502,15,02
ID,1601,16,01
ID,1602,16,02
IL,1701,17,01
IL,1702,17,02
IL,1703,17,03
IL,1704,17,04
IL,1705,17,05
IL,1706,17,06
IL,1707,17,07
IL,1708,17,08
IL,1709,17,09
IL,1710,17,10
IL,1711,17,11
IL,1712,17,12
IL,1713,17,13
IL,1714,17,14
IL,1715,17,15
IL,1716,17,16
IL,1717,17,17
IL,17ZZ,17,ZZ
IN,1801,18,01
IN,1802,18,02
IN,1803,18,03
IN,1804,18,04
IN,1805,18,05
IN,1806,18,06
IN,1807,18,07
IN,1808,18,08
IN,1809,18,09
IA,1901,19,01
IA,1902,19,02
IA,1903,19,03
IA,1904,19,04
KS,2001,20,01
KS,2002,20,02
KS,2003,20,03
KS,2004,20,04
KY,2101,21,01
KY,2102,21,02
KY,2103,21,03
KY,2104,21,04
KY,2105,21,05
KY,2106,21,06
LA,2201,22,01
LA,2202,22,02
LA,2203,22,03
LA,2204,22,04
LA,2205,22,05
LA,2206,22,06
ME,2301,23,01
ME,2302,23,02
MD,2401,24,01
MD,2402,24,02
MD,2403,24,03
MD,2404,24,04
MD,2405,24,05
MD,2406,24,06
MD,2407,24,07
MD,2408,24,08
MA,2501,25,01
MA,2502,25,02
MA,2503,25,03
MA,2504,25,04
MA,2505,25,05
MA,2506,25,06
MA,2507,25,07
MA,2508,25,08
MA,2509,25,09
MI,2601,26,01
MI,2602,26,02
MI,2603,26,03
MI,2604,26,04
MI,2605,26,05
MI,2606,26,06
MI,2607,26,07
MI,2608,26,08
MI,2609,26,09
MI,2610,26,10
MI,2611,26,11
MI,2612,26,12
MI,2613,26,13
MN,2701,27,01
MN,2702,27,02
MN,2703,27,03
MN,2704,27,04
MN,2705,27,05
MN,2706,27,06
MN,2707,27,07
MN,2708,27,08
MS,2801,28,01
MS,2802,28,02
MS,2803,28,03
MS,2804,28,04
MO,2901,29,01
MO,2902,29,02
MO,2903,29,03
MO,2904,29,04
MO,2905,29,05
MO,2906,29,06
MO,2907,29,07
MO,2908,29,08
MT,3001,30,01
MT,3002,30,02
NE,3101,31,01
NE,3102,31,02
NE,3103,31,03
NV,3201,32,01
NV,3202,32,02
NV,3203,32,03
NV,3204,32,04
NH,3301,33,01
NH,3302,33,02
NH,33ZZ,33,ZZ
NJ,3401,34,01
NJ,3402,34,02
NJ,3403,34,03
NJ,3404,34,04
NJ,3405,34,05
NJ,3406,34,06
NJ,3407,34,07
NJ,3408,34,08
NJ,3409,34,09
NJ,3410,34,10
NJ,3411,34,11
NJ,3412,34,12
NM,3501,35,01
NM,3502,35,02
NM,3503,35,03
NY,3601,36,01
NY,3602,36,02
NY,3603,36,03
NY,3604,36,04
NY,3605,36,05
NY,3606,36,06
NY,3607,36,07
NY,3608,36,08
NY,3609,36,09
NY,3610,36,10
NY,3611,36,11
NY,3612,36,12
NY,3613,36,13
NY,3614,36,14
NY,3615,36,15
NY,3616,36,16
NY,3617,36,17
NY,3618,36,18
NY,3619,36,19
NY,3620,36,20
NY,3621,36,21
NY,3622,36,22
NY,3623,36,23
NY,3624,36,24
NY,3625,36,25
NY,3626,36,26
NC,3701,37,01
NC,3702,37,02
NC,3703,37,03
NC,3704,37,04
NC,3705,37,05
NC,3706,37,06
NC,3707,37,07
NC,3708,37,08
NC,3709,37,09
NC,3710,37,10
NC,3711,37,11
NC,3712,37,12
NC,3713,37,13
NC,3714,37,14
ND,3800,38,00
OH,3901,39,01
OH,3902,39,02
OH,3903,39,03
OH,3904,39,04
OH,3905,39,05
OH,3906,39,06
OH,3907,39,07
OH,3908,39,08
OH,3909,39,09
OH,3910,39,10
OH,3911,39,11
OH,3912,39,12
OH,3913,39,13
OH,3914,39,14
OH,3915,39,15
OK,4001,40,01
OK,4002,40,02
OK,4003,40,03
OK,4004,40,04
OK,4005,40,05
OR,4101,41,01
OR,4102,41,02
OR,4103,41,03
OR,4104,41,04
OR,4105,41,05
OR,4106,41,06
PA,4201,42,01
PA,4202,42,02
PA,4203,42,03
PA,4204,42,04
PA,4205,42,05
PA,4206,42,06
PA,4207,42,07
PA,4208,42,08
PA,4209,42,09
PA,4210,42,10
PA,4211,42,11
PA,4212,42,12
PA,4213,42,13
PA,4214,42,14
PA,4215,42,15
PA,4216,42,16
PA,4217,42,17
RI,4401,44,01
RI,4402,44,02
SC,4501,45,01
SC,4502,45,02
SC,4503,45,03
SC,4504,45,04
SC,4505,45,05
SC,4506,45,06
SC,4507,45,07
SD,4600,46,00
TN,4701,47,01
TN,4702,47,02
TN,4703,47,03
TN,4704,47,04
TN,4705,47,05
TN,4706,47,06
TN,4707,47,07
TN,4708,47,08
TN,4709,47,09
TX,4801,48,01
TX,4802,48,02
TX,4803,48,03
