State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Max Raised Candidate,Max Spent Candidate,Money_Difference
AL,1,Jerry Carl,R,False,True,64.9,1971321.0,1859349.0,True,True,111972.0
AL,2,Barry Moore,R,False,True,65.3,650807.0,669368.0,True,True,-18561.0
AL,3,Mike D Rogers,R,True,True,67.5,1193111.0,1218564.0,True,True,-25453.0
AL,4,Robert B Aderholt,R,True,True,82.5,1255076.0,1323812.0,True,True,-68736.0
AL,5,Mo Brooks,R,True,True,95.8,655365.0,210045.0,True,True,445320.0
AL,6,Gary Palmer,R,True,True,97.1,907219.0,909082.0,True,True,-1863.0
AL,7,Terri Sewell,D,True,True,97.2,2168165.0,1495957.0,True,True,672208.0
AK,1,Don Young,R,True,True,54.4,1922901.0,1790448.0,False,False,132453.0
AZ,1,Tom O'Halleran,D,True,True,51.6,3381353.0,3324138.0,True,True,57215.0
AZ,2,Ann Kirkpatrick,D,True,True,55.1,1849862.0,1384765.0,True,True,465097.0
AZ,3,Raul M Grijalva,D,True,True,64.6,843560.0,655507.0,True,True,188053.0
AZ,4,Paul Gosar,R,True,True,69.8,622151.0,729892.0,True,True,-107741.0
AZ,5,Andy Biggs,R,True,True,58.9,1602181.0,1236380.0,True,True,365801.0
AZ,6,David Schweikert,R,True,True,52.2,2265329.0,2249979.0,False,False,15350.0
AZ,7,Ruben Gallego,D,True,True,76.7,1811754.0,1653961.0,True,True,157793.0
AZ,8,Debbie Lesko,R,True,True,59.6,1605245.0,987453.0,True,True,617792.0
AZ,9,Greg Stanton,D,True,True,61.6,2001619.0,1001350.0,True,True,1000269.0
AR,1,Rick Crawford,R,True,True,100.0,966801.0,1095518.0,True,True,-128717.0
AR,2,French Hill,R,True,True,55.4,3384490.0,3020491.0,False,False,363999.0
AR,3,Steve Womack,R,True,True,64.3,1127158.0,923120.0,True,True,204038.0
AR,4,Bruce Westerman,R,True,True,69.7,1407770.0,1102573.0,True,True,305197.0
CA,1,Doug LaMalfa,R,True,True,56.9,1219556.0,1155945.0,False,False,63611.0
CA,2,Jared Huffman,D,True,True,75.7,899419.0,797753.0,True,True,101666.0
CA,3,John Garamendi,D,True,True,54.7,1054066.0,667320.0,True,True,386746.0
CA,4,Tom McClintock,R,True,True,55.9,2053363.0,2107248.0,False,False,-53885.0
CA,5,Mike Thompson,D,True,True,76.8,2208136.0,2022751.0,True,True,185385.0
CA,6,Doris Matsui,D,True,True,73.4,1019605.0,1073529.0,True,True,-53924.0
CA,7,Ami Bera,D,True,True,56.6,1757748.0,1053444.0,True,True,704304.0
CA,8,Jay Obernolte,R,False,True,56.1,1861647.0,1792064.0,True,False,69583.0
CA,9,Jerry McNerney,D,True,True,57.6,1177959.0,1112543.0,True,True,65416.0
CA,10,Josh Harder,D,True,True,55.2,7400135.0,3950613.0,True,True,3449522.0
CA,11,Mark Desaulnier,D,True,True,73.0,610394.0,440537.0,True,True,169857.0
CA,12,Nancy Pelosi,D,True,True,77.6,27359508.0,22064953.0,True,True,5294555.0
CA,13,Barbara Lee,D,True,True,90.4,1828213.0,1750142.0,True,True,78071.0
CA,14,Jackie Speier,D,True,True,79.3,942934.0,919599.0,True,True,23335.0
CA,15,Eric Swalwell,D,True,True,70.9,2807774.0,3977839.0,True,True,-1170065.0
CA,16,Jim Costa,D,True,True,59.3,2135525.0,1835244.0,True,True,300281.0
CA,17,Ro Khanna,D,True,True,71.3,3837982.0,2455457.0,True,True,1382525.0
CA,18,Anna Eshoo,D,True,True,63.2,2114909.0,2059158.0,True,True,55751.0
CA,19,Zoe Lofgren,D,True,True,71.7,1755555.0,1731700.0,True,True,23855.0
CA,20,Jimmy Panetta,D,True,True,76.8,2009894.0,1592671.0,True,True,417223.0
CA,21,David Valadao,R,False,True,50.4,4067880.0,3982587.0,False,False,85293.0
CA,22,Devin Nunes,R,True,True,54.2,26825212.0,20156093.0,True,True,6669119.0
CA,23,Kevin McCarthy,R,True,True,62.1,27780644.0,24265583.0,True,True,3515061.0
CA,24,Salud Carbajal,D,True,True,58.7,2117836.0,1451622.0,True,True,666214.0
CA,25,Mike Garcia,R,True,True,50.0,9962507.0,9584648.0,True,True,377859.0
CA,26,Julia Brownley,D,True,True,60.6,1976695.0,1314677.0,True,True,662018.0
CA,27,Judy Chu,D,True,True,69.8,1213706.0,956298.0,True,True,257408.0
CA,28,Adam Schiff,D,True,True,72.7,19382855.0,10188664.0,True,True,9194191.0
CA,29,Tony Cardenas,D,True,True,56.6,1419697.0,1213588.0,True,True,206109.0
CA,30,Brad Sherman,D,True,True,69.5,1513374.0,1111826.0,True,True,401548.0
