,Unnamed: 0,State,District,Name,Party,Incumbent,Winner,Vote_Percentage,Raised,Spent,MaxSpentPer
0,0,AL,1,Jerry Carl,R,1,True,64.9,1971321.0,1859349.0,True
1,1,AL,1,James Averhart,D,1,False,35.0,80095.0,78973.0,False
2,2,AL,2,Barry Moore,R,1,True,65.3,650807.0,669368.0,True
3,3,AL,2,Phyllis Harvey-Hall,D,1,False,34.6,56050.0,55988.0,False
4,4,AL,3,Mike D Rogers,R,1,True,67.5,1193111.0,1218564.0,True
5,5,AL,3,Adia Winfrey,D,1,False,32.4,50273.0,40971.0,False
6,6,AL,4,Robert B Aderholt,R,1,True,82.5,1255076.0,1323812.0,True
7,7,AL,5,Mo Brooks,R,1,True,95.8,655365.0,210045.0,True
8,8,AL,6,Gary Palmer,R,1,True,97.1,907219.0,909082.0,True
9,9,AL,7,Terri Sewell,D,1,True,97.2,2168165.0,1495957.0,True
10,10,AK,1,Don Young,R,1,True,54.4,1922901.0,1790448.0,False
11,11,AK,1,Alyse Galvin,I,1,False,45.3,5178452.0,5088103.0,True
12,12,AZ,1,Tom O'Halleran,D,1,True,51.6,3381353.0,3324138.0,True
13,13,AZ,1,Tiffany Shedd,R,1,False,48.4,1675618.0,1615704.0,False
14,14,AZ,2,Ann Kirkpatrick,D,1,True,55.1,1849862.0,1384765.0,True
15,15,AZ,2,Brandon Martin,R,1,False,44.9,374821.0,381067.0,False
16,16,AZ,3,Raul M Grijalva,D,1,True,64.6,843560.0,655507.0,True
17,17,AZ,3,Daniel Wood,R,1,False,35.4,41422.0,41962.0,False
18,18,AZ,4,Paul Gosar,R,1,True,69.8,622151.0,729892.0,True
19,19,AZ,4,Delina DiSanto,D,1,False,30.2,77168.0,79758.0,False
20,20,AZ,5,Andy Biggs,R,1,True,58.9,1602181.0,1236380.0,True
21,21,AZ,5,Joan Greene,D,1,False,41.1,356069.0,209789.0,False
22,22,AZ,6,David Schweikert,R,1,True,52.2,2265329.0,2249979.0,False
23,23,AZ,6,Hiral Tipirneni,D,1,False,47.8,6301073.0,6366702.0,True
24,24,AZ,7,Ruben Gallego,D,1,True,76.7,1811754.0,1653961.0,True
25,25,AZ,7,Josh Barnett,R,1,False,23.3,28093.0,17883.0,False
26,26,AZ,8,Debbie Lesko,R,1,True,59.6,1605245.0,987453.0,True
27,27,AZ,8,Michael Muscato,D,1,False,40.4,357906.0,347734.0,False
28,28,AZ,9,Greg Stanton,D,1,True,61.6,2001619.0,1001350.0,True
29,29,AZ,9,Dave Giles,R,1,False,38.4,130480.0,129935.0,False
30,30,AR,1,Rick Crawford,R,1,True,100.0,966801.0,1095518.0,True
31,31,AR,2,French Hill,R,1,True,55.4,3384490.0,3020491.0,False
32,32,AR,2,Joyce Elliott,D,1,False,44.6,3482463.0,3478733.0,True
33,33,AR,3,Steve Womack,R,1,True,64.3,1127158.0,923120.0,True
34,34,AR,3,Celeste Williams,D,1,False,31.8,355294.0,355294.0,False
35,35,AR,4,Bruce Westerman,R,1,True,69.7,1407770.0,1102573.0,True
